trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,
100,0,100,0,5,290.0595917,290.0595917,0.0625799,0.388571429,-0.012857143,1,0,0,2.2103082,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
101,0,101,0,5,292.3600338,292.3600338,0.0679958,-0.145714286,0.255714286,1,0,0,1.4154015,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
102,0,102,0,5,293.824561,293.824561,0.0611142,-0.02,0.432857143,1,0,0,2.1585804,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
104,0,104,0,5,301.7407912,301.7407912,0.0562133,-0.111428571,-0.292857143,1,0,0,2.2646497,    ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
105,0,105,0,5,304.071342,304.071342,0.0592639,-0.088571429,-0.085714286,1,0,0,1.598913,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
107,0,107,0,5,308.2218615,308.2218615,0.0636438,0.121428571,0.437142857,1,0,0,2.1559316,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
108,0,108,0,5,310.4557154,310.4557154,0.091581,0.44,0.322857143,1,0,0,2.015089,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
109,0,109,0,5,312.5011865,312.5011865,0.0481474,-0.488571429,0.112857143,1,0,0,1.8735734,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
111,0,111,0,5,317.2850142,317.2850142,0.0472324,0.298571429,0.121428571,1,0,0,2.2075371,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
112,0,112,0,5,319.5490925,319.5490925,0.0474976,0.42,0.38,1,0,0,1.7905456,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
113,0,113,0,5,321.4152169,321.4152169,0.0640267,-0.234285714,0.187142857,1,0,0,1.5090219,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
114,0,114,0,5,322.9814529,322.9814529,0.0503188,-0.13,-0.197142857,1,0,0,2.4363542,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
117,0,117,0,5,329.7288225,329.7288225,0.0405586,-0.362857143,0.45,1,0,0,2.7124577,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
118,0,118,0,5,332.5130368,332.5130368,0.0603723,0.298571429,0.202857143,1,0,0,2.1918729,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
120,0,120,0,5,336.7454592,336.7454592,0.0641343,-0.024285714,0.371428571,1,0,0,1.9737886,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
124,0,124,0,5,346.3750016,346.3750016,0.0662573,0.135714286,0.047142857,1,0,0,1.8723841,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
127,0,127,0,5,353.8210336,353.8210336,0.0628718,0.391428571,0.47,1,0,0,2.6399325,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
128,0,128,0,5,356.5032351,356.5032351,0.0323296,0.462857143,0.204285714,1,0,0,1.8983148,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
129,0,129,0,5,358.4696357,358.4696357,0.062904,0.332857143,-0.167142857,1,0,0,2.8733893,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
130,0,130,0,5,361.4366973,361.4366973,0.0649217,0.37,-0.437142857,1,0,0,2.1195197,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
132,0,132,0,5,367.4821704,367.4821704,0.0488403,-0.445714286,0.401428571,1,0,0,3.6824944,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
141,0,141,0,5,397.9889358,397.9889358,0.0527252,-0.181428571,-0.334285714,1,0,0,3.4684129,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
142,0,142,0,5,401.5397689,401.5397689,0.0589214,0.417142857,-0.424285714,1,0,0,2.7329243,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
143,0,143,0,5,404.3373521,404.3373521,0.0577355,-0.267142857,0.064285714,1,0,0,2.0277875,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
144,0,144,0,5,406.4365001,406.4365001,0.0614399,-0.088571429,0.151428571,1,0,0,1.8908274,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
145,0,145,0,5,408.4040465,408.4040465,0.0558899,-0.332857143,-0.321428571,1,0,0,2.4480343,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
146,0,146,0,5,410.9349399,410.9349399,0.0632095,-0.421428571,0.02,1,0,0,1.7426099,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
147,0,147,0,5,412.7344602,412.7344602,0.0528074,0.001428571,-0.118571429,1,0,0,3.1027735,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
152,0,152,0,5,426.6980296,426.6980296,0.0666111,-0.45,0.42,1,0,0,1.9216833,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
153,0,153,0,5,428.6794643,428.6794643,0.0653089,0.385714286,0.424285714,1,0,0,3.0553248,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
159,0,159,0,5,442.9244672,442.9244672,0.0628371,0.425714286,-0.337142857,1,0,0,2.0454379,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
164,0,164,0,5,456.3860235,456.3860235,0.0590447,-0.148571429,0.342857143,1,0,0,1.7290953,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
165,0,165,0,5,458.2033487,458.2033487,0.0628975,0.197142857,-0.307142857,1,0,0,3.5247985,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
168,0,168,0,5,468.2824548,468.2824548,0.0632208,0.094285714,-0.427142857,1,0,0,2.5413133,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
169,0,169,0,5,470.8831653,470.8831653,0.0507817,-0.3,-0.287142857,1,0,0,1.7557683,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
170,0,170,0,5,472.7324873,472.7324873,0.0626692,0.13,-0.354285714,1,0,0,2.4729053,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
171,0,171,0,5,475.2636153,475.2636153,0.0594106,0.23,0.132857143,1,0,0,2.9607186,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
172,0,172,0,5,478.3125158,478.3125158,0.0643466,0.151428571,-0.41,1,0,0,2.5907152,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
177,0,177,0,5,491.7574753,491.7574753,0.0624418,0.325714286,-0.171428571,1,0,0,1.4584624,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
178,0,178,0,5,493.3087123,493.3087123,0.0625584,0.142857143,-0.055714286,1,0,0,2.6450523,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
179,0,179,0,5,496.0246442,496.0246442,0.0635176,0.407142857,0.275714286,1,0,0,2.325415,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
