trials.A1:K1thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,,
79,0,79,0,5,313.8076605,313.8076605,0.0171354,0.294444444,-0.153703704,1,0,0,1.5458348,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
80,0,80,0,5,320.1731144,320.1731144,0.0161931,-0.300925926,-0.361111111,1,0,0,1.4975077,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
81,0,81,0,5,321.692083,321.692083,0.0182449,-0.468518519,0.344444444,1,0,0,1.7279138,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
82,0,82,0,5,328.207229,328.207229,0.0170677,-0.112037037,0.386111111,1,0,0,1.7460537,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
83,0,83,0,5,329.9741536,329.9741536,0.0171569,0.155555556,-0.277777778,1,0,0,1.9295311,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
84,0,84,0,5,331.9227414,331.9227414,0.0158002,0.323148148,-0.35,1,0,0,1.664433,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
85,0,85,0,5,341.1255921,341.1255921,0.018533,0.359259259,0.5,1,0,0,2.0784283,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
86,0,86,0,5,343.2239979,343.2239979,0.017081,0.077777778,-0.044444444,1,0,0,1.5629068,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
87,0,87,0,5,344.8078622,344.8078622,0.0172022,-0.439814815,0.109259259,1,0,0,1.7117129,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
88,0,88,0,5,346.5405718,346.5405718,0.0171845,-0.255555556,-0.286111111,1,0,0,1.6456353,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
89,0,89,0,5,348.2068263,348.2068263,0.0172167,0.225,-0.307407407,1,0,0,1.6301868,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
90,0,90,0,5,352.7076787,352.7076787,0.0171684,0.47037037,-0.459259259,1,0,0,1.8617018,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
91,0,91,0,5,357.0575119,357.0575119,0.0171076,-0.412037037,-0.081481481,1,0,0,1.5465479,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
92,0,92,0,5,358.6241026,358.6241026,0.0164641,-0.04537037,-0.455555556,1,0,0,1.7293642,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
93,0,93,0,5,362.1249976,362.1249976,0.0173197,0.3,0.426851852,1,0,0,1.8616021,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
94,0,94,0,5,368.5068929,368.5068929,0.0171876,0.016666667,0.086111111,1,0,0,1.5297279,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
95,0,95,0,5,374.7383272,374.7383272,0.0163589,-0.02037037,0.340740741,1,0,0,1.5311432,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
96,0,96,0,5,376.2907331,376.2907331,0.017897,-0.450925926,-0.19537037,1,0,0,1.8955683,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
97,0,97,0,5,378.207439,378.207439,0.0174095,-0.236111111,0.413888889,1,0,0,1.7123418,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
98,0,98,0,10,24.1424155,24.1424155,0.0410346,0.483333333,-0.063888889,1,0,0,1.5023281,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
99,0,99,0,10,25.6927958,25.6927958,0.0432178,0.393518519,0.35,1,0,0,2.1371778,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
100,0,100,0,10,27.876356,27.876356,0.0445658,-0.322222222,0.101851852,1,0,0,2.2352179,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
101,0,101,0,10,30.1639773,30.1639773,0.0460921,0.080555556,0.174074074,1,0,0,1.3662968,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
102,0,102,0,10,31.5837239,31.5837239,0.0477142,0.056481481,0.181481481,1,0,0,1.7626497,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
103,0,103,0,10,40.4804497,40.4804497,0.0455711,-0.084259259,0.275925926,1,0,0,1.0499216,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
104,0,104,0,10,45.3953229,45.3953229,0.0429775,0.219444444,0.389814815,1,0,0,1.7355928,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
105,0,105,0,10,48.4648135,48.4648135,0.0328772,0.1,-0.132407407,1,0,0,1.8461963,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
106,0,106,0,10,55.1295247,55.1295247,0.0328029,-0.018518519,0.033333333,1,0,0,1.5139482,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
107,0,107,0,10,59.8313646,59.8313646,0.0348111,0.114814815,0.003703704,1,0,0,1.46162,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
108,0,108,0,10,62.778862,62.778862,0.03244,-0.339814815,0.391666667,1,0,0,2.1312734,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
