trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,
125,0,125,0,5,186.2921783,186.2921783,0.009664917,0.201111111,-0.45,1,0,0,1.635376958,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
126,0,126,0,5,187.9397883,187.9397883,0.010010667,-0.013333333,0.233333333,1,0,0,1.2546,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
127,0,127,0,5,189.2070785,189.2070785,0.009963292,0.167777778,-0.251111111,1,0,0,1.11997975,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
128,0,128,0,5,190.3394473,190.3394473,0.009731166,-0.324444444,0.151111111,1,0,0,1.48801125,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
132,0,132,0,5,196.2258105,196.2258105,0.00969525,0.39,-0.148888889,1,0,0,1.285538875,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
135,0,135,0,5,200.2757484,200.2757484,0.009641666,0.02,-0.098888889,1,0,0,1.2860645,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
137,0,137,0,5,203.0259336,203.0259336,0.009738166,-0.038888889,-0.365555556,1,0,0,1.984797792,     ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
138,0,138,0,5,205.0231465,205.0231465,0.009967959,0.343333333,0.461111111,1,0,0,1.837507959,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
142,0,142,0,5,211.6685153,211.6685153,0.009448041,0.277777778,0.018888889,1,0,0,1.176435708,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
143,0,143,0,5,212.8576336,212.8576336,0.009734334,0.466666667,0.395555556,1,0,0,1.270314417,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
145,0,145,0,5,215.092279,215.092279,0.010038833,-0.28,0.223333333,1,0,0,1.602523834,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
146,0,146,0,5,216.7071805,216.7071805,0.009718083,0.147777778,0.287777778,1,0,0,1.453438709,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
148,0,148,0,5,219.2591063,219.2591063,0.009618,0.426666667,0.376666667,1,0,0,1.184809125,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
151,0,151,0,5,223.4858289,223.4858289,0.009472417,-0.315555556,-0.114444444,1,0,0,1.708337458,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
152,0,152,0,5,225.2067068,225.2067068,0.009879708,0.454444444,0.043333333,1,0,0,1.804556334,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
154,0,154,0,5,228.5527905,228.5527905,0.009491625,-0.172222222,0.264444444,1,0,0,1.359330125,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
157,0,157,0,5,232.785806,232.785806,0.009360542,-0.088888889,-0.153333333,1,0,0,1.425778166,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
158,0,158,0,5,234.2239061,234.2239061,0.009758417,-0.198888889,0.148888889,1,0,0,1.121310209,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
159,0,159,0,5,235.3572018,235.3572018,0.0096895,0.277777778,0.266666667,1,0,0,1.203892083,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
163,0,163,0,5,240.7028594,240.7028594,0.009315,0.465555556,0.222222222,1,0,0,1.509306542,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
164,0,164,0,5,242.2246255,242.2246255,0.009769791,0.296666667,0.195555556,1,0,0,1.1210605,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
165,0,165,0,5,243.3580334,243.3580334,0.009883542,-0.114444444,0.486666667,1,0,0,2.070902541,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
166,0,166,0,5,245.4413169,245.4413169,0.009741291,0.105555556,-0.357777778,1,0,0,1.521046709,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
168,0,168,0,5,247.3279875,247.3279875,0.009968334,0.134444444,-0.287777778,1,0,0,1.000542583,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
169,0,169,0,5,248.3409513,248.3409513,0.009999458,0.196666667,0.487777778,1,0,0,1.4878605,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
170,0,170,0,5,249.841202,249.841202,0.009702417,0.03,-0.252222222,1,0,0,1.72059375,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
171,0,171,0,5,251.5745946,251.5745946,0.010007792,-0.074444444,-0.377777778,1,0,0,1.004390625,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
172,0,172,0,5,252.5913494,252.5913494,0.010001625,0.481111111,0.462222222,1,0,0,1.737439,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
176,0,176,0,5,258.9364594,258.9364594,0.00948125,-0.275555556,-0.01,1,0,0,1.259477459,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
178,0,178,0,5,261.6026465,261.6026465,0.009329292,0.037777778,0.12,1,0,0,1.026160792,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
179,0,179,0,5,262.6411271,262.6411271,0.009763834,-0.48,0.256666667,1,0,0,1.370949291,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
185,0,185,0,5,273.5775087,273.5775087,0.009749417,0.113333333,0.016666667,1,0,0,1.001838542,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
186,0,186,0,5,274.5922667,274.5922667,0.009929208,0.186666667,0.271111111,1,0,0,1.519613667,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
188,0,188,0,5,277.2445646,277.2445646,0.009711292,-0.302222222,0.121111111,1,0,0,1.701746042,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
189,0,189,0,5,278.9587816,278.9587816,0.010039084,-0.001111111,-0.413333333,1,0,0,1.5039515,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
192,0,192,0,5,283.870515,283.870515,0.009379958,-0.317777778,0.48,1,0,0,1.57446625,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
193,0,193,0,5,285.4575144,285.4575144,0.009790375,-0.146666667,0.454444444,1,0,0,0.938834666,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
194,0,194,0,5,286.4088913,286.4088913,0.0100045,-0.026666667,-0.088888889,1,0,0,1.220719875,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
197,0,197,0,5,291.2868422,291.2868422,0.009338167,-0.187777778,0.033333333,1,0,0,0.942875916,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
198,0,198,0,5,292.2417223,292.2417223,0.009731625,-0.444444444,-0.144444444,1,0,0,1.37186025,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
199,0,199,0,5,293.6265996,293.6265996,0.009842291,-0.153333333,0.43,1,0,0,1.402716083,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
0,0,0,0,10,13.12948733,13.12948733,0.021795208,0.233333333,-0.076666667,1,0,0,2.035048875,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
7,0,7,0,10,22.24492038,22.24492038,0.01803025,-0.141111111,0.462222222,1,0,0,1.488250542,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
9,0,9,0,10,25.21218567,25.21218567,0.018212583,0.305555556,-0.264444444,1,0,0,1.331595875,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
10,0,10,0,10,26.56432613,26.56432613,0.017983166,0.408888889,-0.205555556,1,0,0,1.3881305,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
12,0,12,0,10,29.46229579,29.46229579,0.0181115,0.202222222,0.298888889,1,0,0,1.1412535,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
13,0,13,0,10,30.622387,30.622387,0.017113417,0.403333333,0.01,1,0,0,1.220991334,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
14,0,14,0,10,31.86449,31.86449,0.018064583,-0.261111111,-0.172222222,1,0,0,1.355344167,     ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
15,0,15,0,10,33.23990792,33.23990792,0.017680875,0.216666667,-0.058888889,1,0,0,1.447172333,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
16,0,16,0,10,34.70705725,34.70705725,0.017647708,0.474444444,-0.18,1,0,0,1.813755792,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
